"participant","maptype","condition","dataset","county","fips"
"599e1bb6c6dab70001403c52","vsup","worst","vaccine","county_1",39075
"599e1bb6c6dab70001403c52","vsup","worst","vaccine","county_2",48165
"599e1bb6c6dab70001403c52","vsup","worst","vaccine","county_3",13183
"599e1bb6c6dab70001403c52","vsup","worst","vaccine","county_4",18087
"599e1bb6c6dab70001403c52","vsup","worst","vaccine","county_5",38053
"5aeafd656b4ecd000115adfd","vsup","worst","vaccine","county_1",39075
"5aeafd656b4ecd000115adfd","vsup","worst","vaccine","county_2",38053
"5aeafd656b4ecd000115adfd","vsup","worst","vaccine","county_3",48165
"5aeafd656b4ecd000115adfd","vsup","worst","vaccine","county_4",1133
"5aeafd656b4ecd000115adfd","vsup","worst","vaccine","county_5",18087
"5b8c12882cb1e4000133137e","vsup","worst","vaccine","county_1",50005
"5b8c12882cb1e4000133137e","vsup","worst","vaccine","county_2",45025
"5b8c12882cb1e4000133137e","vsup","worst","vaccine","county_3",13011
"5b8c12882cb1e4000133137e","vsup","worst","vaccine","county_4",16049
"5b8c12882cb1e4000133137e","vsup","worst","vaccine","county_5",12077
"5bf116a61e78580001dc4842","vsup","worst","vaccine","county_1",39075
"5bf116a61e78580001dc4842","vsup","worst","vaccine","county_2",38053
"5bf116a61e78580001dc4842","vsup","worst","vaccine","county_3",29063
"5bf116a61e78580001dc4842","vsup","worst","vaccine","county_4",13025
"5bf116a61e78580001dc4842","vsup","worst","vaccine","county_5",22023
"5d76bc8e529c4b00197aa4f2","vsup","worst","vaccine","county_1",39075
"5d76bc8e529c4b00197aa4f2","vsup","worst","vaccine","county_2",48165
"5d76bc8e529c4b00197aa4f2","vsup","worst","vaccine","county_3",13025
"5d76bc8e529c4b00197aa4f2","vsup","worst","vaccine","county_4",18087
"5d76bc8e529c4b00197aa4f2","vsup","worst","vaccine","county_5",29145
"5dcfc4a09595a10cd3ef3e59","vsup","worst","vaccine","county_1",20101
"5dcfc4a09595a10cd3ef3e59","vsup","worst","vaccine","county_2",46073
"5dcfc4a09595a10cd3ef3e59","vsup","worst","vaccine","county_3",38045
"5dcfc4a09595a10cd3ef3e59","vsup","worst","vaccine","county_4",38047
"5dcfc4a09595a10cd3ef3e59","vsup","worst","vaccine","county_5",46021
"5dd36d715e9119361a7459f8","vsup","worst","vaccine","county_1",39075
"5dd36d715e9119361a7459f8","vsup","worst","vaccine","county_2",48165
"5dd36d715e9119361a7459f8","vsup","worst","vaccine","county_3",29145
"5dd36d715e9119361a7459f8","vsup","worst","vaccine","county_4",13183
"5dd36d715e9119361a7459f8","vsup","worst","vaccine","county_5",1133
"5dddfaa2c0823fd714c5babf","vsup","worst","vaccine","county_1",20113
"5dddfaa2c0823fd714c5babf","vsup","worst","vaccine","county_2",26075
"5dddfaa2c0823fd714c5babf","vsup","worst","vaccine","county_3",26163
"5dddfaa2c0823fd714c5babf","vsup","worst","vaccine","county_4",26125
"5dddfaa2c0823fd714c5babf","vsup","worst","vaccine","county_5",21107
"5e53019d2ca8273228d34e2a","vsup","worst","vaccine","county_1",39075
"5e53019d2ca8273228d34e2a","vsup","worst","vaccine","county_2",29145
"5e53019d2ca8273228d34e2a","vsup","worst","vaccine","county_3",48165
"5e53019d2ca8273228d34e2a","vsup","worst","vaccine","county_4",1133
"5e53019d2ca8273228d34e2a","vsup","worst","vaccine","county_5",18087
"5ecd4acdb218ec085c6eefe6","vsup","worst","vaccine","county_1",48165
"5ecd4acdb218ec085c6eefe6","vsup","worst","vaccine","county_2",1133
"5ecd4acdb218ec085c6eefe6","vsup","worst","vaccine","county_3",39075
"5ecd4acdb218ec085c6eefe6","vsup","worst","vaccine","county_4",38053
"5ecd4acdb218ec085c6eefe6","vsup","worst","vaccine","county_5",29145
"5f01230b4f8dff26fad883d2","vsup","worst","vaccine","county_1",39075
"5f01230b4f8dff26fad883d2","vsup","worst","vaccine","county_2",38053
"5f01230b4f8dff26fad883d2","vsup","worst","vaccine","county_3",48351
"5f01230b4f8dff26fad883d2","vsup","worst","vaccine","county_4",29067
"5f01230b4f8dff26fad883d2","vsup","worst","vaccine","county_5",13271
"5f7ccea045a05116af802513","vsup","worst","vaccine","county_1",4001
"5f7ccea045a05116af802513","vsup","worst","vaccine","county_2",53033
"5f7ccea045a05116af802513","vsup","worst","vaccine","county_3",36119
"5f7ccea045a05116af802513","vsup","worst","vaccine","county_4",12086
"5f7ccea045a05116af802513","vsup","worst","vaccine","county_5",48141
"5fe50728d42dc52aeaa1bb22","vsup","worst","vaccine","county_1",39075
"5fe50728d42dc52aeaa1bb22","vsup","worst","vaccine","county_2",29145
"5fe50728d42dc52aeaa1bb22","vsup","worst","vaccine","county_3",1121
"5fe50728d42dc52aeaa1bb22","vsup","worst","vaccine","county_4",1117
"5fe50728d42dc52aeaa1bb22","vsup","worst","vaccine","county_5",13015
"60fed8cc5550124f8935f7b0","vsup","worst","vaccine","county_1",39075
"60fed8cc5550124f8935f7b0","vsup","worst","vaccine","county_2",29145
"60fed8cc5550124f8935f7b0","vsup","worst","vaccine","county_3",48165
"60fed8cc5550124f8935f7b0","vsup","worst","vaccine","county_4",38053
"60fed8cc5550124f8935f7b0","vsup","worst","vaccine","county_5",1133
"6101122085410e70ca020a04","vsup","worst","vaccine","county_1",1133
"6101122085410e70ca020a04","vsup","worst","vaccine","county_2",48165
"6101122085410e70ca020a04","vsup","worst","vaccine","county_3",39075
"6101122085410e70ca020a04","vsup","worst","vaccine","county_4",18087
"6101122085410e70ca020a04","vsup","worst","vaccine","county_5",13049
"628e96b9b7679f5464681a9a","vsup","worst","vaccine","county_1",39075
"628e96b9b7679f5464681a9a","vsup","worst","vaccine","county_2",48165
"628e96b9b7679f5464681a9a","vsup","worst","vaccine","county_3",18087
"628e96b9b7679f5464681a9a","vsup","worst","vaccine","county_4",1133
"628e96b9b7679f5464681a9a","vsup","worst","vaccine","county_5",29145
"6296ecaf7ea72c4951583ffd","vsup","worst","vaccine","county_1",29067
"6296ecaf7ea72c4951583ffd","vsup","worst","vaccine","county_2",1029
"6296ecaf7ea72c4951583ffd","vsup","worst","vaccine","county_3",48405
"6296ecaf7ea72c4951583ffd","vsup","worst","vaccine","county_4",13049
"6296ecaf7ea72c4951583ffd","vsup","worst","vaccine","county_5",38053
"62f975cbc3507ecf77180d00","vsup","worst","vaccine","county_1",39075
"62f975cbc3507ecf77180d00","vsup","worst","vaccine","county_2",18087
"62f975cbc3507ecf77180d00","vsup","worst","vaccine","county_3",13183
"62f975cbc3507ecf77180d00","vsup","worst","vaccine","county_4",48165
"62f975cbc3507ecf77180d00","vsup","worst","vaccine","county_5",29145
"633f4b5059234858b7f736c5","vsup","worst","vaccine","county_1",56035
"633f4b5059234858b7f736c5","vsup","worst","vaccine","county_2",56013
"633f4b5059234858b7f736c5","vsup","worst","vaccine","county_3",56037
"633f4b5059234858b7f736c5","vsup","worst","vaccine","county_4",56007
"633f4b5059234858b7f736c5","vsup","worst","vaccine","county_5",56001
"6355a48fb367b431249c045e","vsup","worst","vaccine","county_1",39075
"6355a48fb367b431249c045e","vsup","worst","vaccine","county_2",18087
"6355a48fb367b431249c045e","vsup","worst","vaccine","county_3",29145
"6355a48fb367b431249c045e","vsup","worst","vaccine","county_4",48165
"6355a48fb367b431249c045e","vsup","worst","vaccine","county_5",1133
"63d144f6da5276bc020bc1fb","vsup","worst","vaccine","county_1",48165
"63d144f6da5276bc020bc1fb","vsup","worst","vaccine","county_2",1133
"63d144f6da5276bc020bc1fb","vsup","worst","vaccine","county_3",38053
"63d144f6da5276bc020bc1fb","vsup","worst","vaccine","county_4",39075
"63d144f6da5276bc020bc1fb","vsup","worst","vaccine","county_5",29145
"63e55b9998cfe6f533667161","vsup","worst","vaccine","county_1",39075
"63e55b9998cfe6f533667161","vsup","worst","vaccine","county_2",13183
"63e55b9998cfe6f533667161","vsup","worst","vaccine","county_3",29145
"63e55b9998cfe6f533667161","vsup","worst","vaccine","county_4",48165
"63e55b9998cfe6f533667161","vsup","worst","vaccine","county_5",38105
"63ed00d9a442d349cd6b2a4e","vsup","worst","vaccine","county_1",39075
"63ed00d9a442d349cd6b2a4e","vsup","worst","vaccine","county_2",48165
"63ed00d9a442d349cd6b2a4e","vsup","worst","vaccine","county_3",13031
"63ed00d9a442d349cd6b2a4e","vsup","worst","vaccine","county_4",38053
"63ed00d9a442d349cd6b2a4e","vsup","worst","vaccine","county_5",6063
"643f08aeedfe88695242df84","vsup","worst","vaccine","county_1",39075
"643f08aeedfe88695242df84","vsup","worst","vaccine","county_2",22023
"643f08aeedfe88695242df84","vsup","worst","vaccine","county_3",20133
"643f08aeedfe88695242df84","vsup","worst","vaccine","county_4",1133
"643f08aeedfe88695242df84","vsup","worst","vaccine","county_5",18087
"6443231fbc6350e4ee5f2f25","vsup","worst","vaccine","county_1",48165
"6443231fbc6350e4ee5f2f25","vsup","worst","vaccine","county_2",39075
"6443231fbc6350e4ee5f2f25","vsup","worst","vaccine","county_3",18087
"6443231fbc6350e4ee5f2f25","vsup","worst","vaccine","county_4",29145
"6443231fbc6350e4ee5f2f25","vsup","worst","vaccine","county_5",56005
